Image File,Inference Time (s),Memory Usage (MB),Temperature (Â°C)
95.jpg,0.6159765720367432,52.90625,60.6
84.jpg,0.3811311721801758,60.6875,60.6
70.jpg,0.3553173542022705,57.71875,60.6
117.jpg,0.4175276756286621,64.046875,61.15
55.jpg,0.3472466468811035,69.046875,62.25
45.jpg,0.3189277648925781,56.953125,61.7
106.jpg,0.3615379333496094,67.65625,63.35
75.jpg,0.354536771774292,63.890625,63.35
85.jpg,0.3560914993286133,65.25,63.9
40.jpg,0.34163856506347656,60.59375,62.8
10.png,0.36389708518981934,67.234375,62.8
9.png,0.35545849800109863,66.984375,64.45
91.jpg,0.35609889030456543,61.328125,63.9
7.png,0.5148570537567139,73.140625,63.9
33.png,0.2892329692840576,75.140625,64.45
1.jpg,0.41167569160461426,76.15625,65.0
97.jpg,0.3579883575439453,68.59375,65.0
61.jpg,0.35750722885131836,69.015625,65.0
83.jpg,0.3922269344329834,72.765625,65.55
57.jpg,0.35098767280578613,69.0625,63.9
73.jpg,0.35544729232788086,69.03125,65.0
62.jpg,0.36203765869140625,69.453125,63.35
43.jpg,0.3352835178375244,68.078125,65.0
8.png,0.3817117214202881,73.578125,65.0
2.jpg,0.35744214057922363,69.296875,65.0
41.jpg,0.35596632957458496,69.71875,64.45
60.jpg,0.2683544158935547,74.21875,64.45
13.png,0.35776495933532715,69.5625,65.55
51.jpg,0.313002347946167,60.390625,65.55
22.png,0.39316606521606445,74.0625,65.55
80.jpg,0.38279080390930176,74.078125,65.55
17.png,0.3834116458892822,75.9375,64.45
3.png,0.3600800037384033,69.234375,66.1
67.jpg,0.3328742980957031,68.359375,64.45
29.png,0.3220198154449463,78.359375,65.55
59.jpg,0.3603072166442871,74.046875,63.9
48.jpg,0.31554651260375977,64.921875,66.1
88.jpg,0.35964035987854004,69.8125,66.1
64.jpg,0.3592214584350586,69.734375,65.0
126.jpg,0.35614585876464844,69.46875,66.1
12.png,0.31681299209594727,64.84375,65.55
77.jpg,0.3614935874938965,69.234375,67.2
101.jpg,0.38536691665649414,74.125,65.0
30.png,0.3384554386138916,72.375,65.55
120.jpg,0.4065513610839844,74.3125,66.1
44.jpg,0.3129298686981201,64.546875,65.55
118.jpg,0.36319732666015625,69.4375,65.0
124.jpg,0.36162900924682617,69.359375,66.65
81.jpg,0.3841524124145508,74.25,66.65
112.jpg,0.4488959312438965,82.859375,66.1
38.png,0.35660743713378906,71.578125,66.1
25.png,0.3607053756713867,71.546875,66.1
5.png,0.3537783622741699,74.09375,66.65
53.jpg,0.35832858085632324,71.84375,65.55
108.jpg,0.5172231197357178,77.453125,64.45
113.jpg,0.30513429641723633,81.953125,66.1
93.jpg,0.35880208015441895,68.59375,66.65
86.jpg,0.47112178802490234,86.03125,66.65
32.png,0.28302717208862305,86.03125,66.65
47.jpg,0.3352041244506836,73.125,66.1
115.jpg,0.37685394287109375,76.65625,66.1
94.jpg,0.38183164596557617,77.34375,66.1
68.jpg,0.28354644775390625,77.84375,65.55
96.jpg,0.3561861515045166,74.375,65.0
82.jpg,0.4371623992919922,81.96875,66.1
27.png,0.30741453170776367,82.96875,67.2
4.png,0.3586311340332031,76.40625,67.2
14.png,0.26154541969299316,76.40625,66.1
98.jpg,0.36067771911621094,72.546875,66.65
109.jpg,0.3362545967102051,73.921875,66.1
125.jpg,0.388901948928833,75.703125,67.2
63.jpg,0.3595695495605469,74.15625,66.65
24.png,0.31200623512268066,83.15625,67.2
0.jpg,0.3631136417388916,73.890625,67.75
6.png,0.3622760772705078,72.859375,67.2
100.jpg,0.30982279777526855,83.359375,67.2
69.jpg,0.3894972801208496,76.265625,67.2
107.jpg,0.36036229133605957,73.71875,67.2
105.jpg,0.5101339817047119,61.28125,67.2
74.jpg,0.5005993843078613,89.203125,66.1
116.jpg,0.3601832389831543,75.484375,66.1
31.png,0.286118745803833,82.984375,67.2
65.jpg,0.3814659118652344,78.921875,67.2
72.jpg,0.3606436252593994,79.15625,67.2
111.jpg,0.38134050369262695,79.140625,67.2
16.png,0.35596394538879395,79.375,66.65
78.jpg,0.3875713348388672,79.359375,67.75
28.png,0.31334495544433594,84.859375,67.75
49.jpg,0.3897287845611572,79.625,67.75
15.png,0.3597226142883301,79.375,66.65
18.png,0.40889716148376465,82.171875,66.65
23.png,0.35838794708251953,79.515625,67.75
66.jpg,0.3333311080932617,78.15625,67.2
71.jpg,0.3558385372161865,79.3125,68.3
79.jpg,0.3596522808074951,79.0625,67.75
90.jpg,0.33032798767089844,75.203125,67.75
26.png,0.26169443130493164,78.203125,67.2
46.jpg,0.36449575424194336,79.140625,67.75
129.jpg,0.35362887382507324,75.390625,66.65
19.png,0.3598051071166992,76.234375,67.2
42.jpg,0.3616163730621338,79.265625,66.65
37.png,0.48801231384277344,94.59375,67.75
35.png,0.33422112464904785,100.59375,66.65
102.jpg,0.35110044479370117,71.375,67.75
127.jpg,0.42589306831359863,84.703125,67.75
114.jpg,0.41417574882507324,91.140625,66.65
11.png,0.5073816776275635,89.84375,67.75
39.png,0.3130030632019043,96.84375,66.1
58.jpg,0.35690808296203613,84.328125,68.3
104.jpg,0.3854866027832031,86.15625,68.3
56.jpg,0.35959315299987793,84.0,68.3
121.jpg,0.32254576683044434,93.0,67.2
87.jpg,0.38251185417175293,86.546875,67.75
50.jpg,0.38390350341796875,83.421875,66.65
52.jpg,0.33444762229919434,83.15625,67.75
34.png,0.32016944885253906,97.15625,66.65
20.png,0.5088372230529785,90.1875,66.65
103.jpg,0.3567681312561035,84.234375,67.75
122.jpg,0.33817172050476074,82.84375,67.75
92.jpg,0.36002159118652344,84.65625,66.65
21.png,0.33382105827331543,83.265625,66.65
128.jpg,0.35023975372314453,94.765625,66.65
76.jpg,0.3453803062438965,94.765625,67.75
119.jpg,0.3816044330596924,86.5625,68.3
99.jpg,0.34970927238464355,95.0625,66.1
36.png,0.32338762283325195,97.5625,68.3
54.jpg,0.36215710639953613,87.953125,66.65
89.jpg,0.356292724609375,84.375,67.75
123.jpg,0.3598361015319824,84.9375,67.75
110.jpg,0.25269103050231934,88.4375,67.2
